,acousticness_avg,acousticness_std,artist_genres,artist_popularity_avg,artist_popularity_std,danceability_avg,danceability_std,duration_ms_avg,duration_ms_std,energy_avg,energy_std,first_update,followers,instrumentalness_avg,instrumentalness_std,is_collaborative,is_public,key_avg,key_std,last_update,liveness_avg,liveness_std,loudness_avg,loudness_std,mode_avg,mode_std,num_of_artists,num_of_markets_avg,num_of_songs,playlist_name_length,song_duration_avg,song_duration_std,song_popularity_avg,song_popularity_std,speechiness_avg,speechiness_std,tempo_avg,tempo_std,time_signature_avg,time_signature_std,valence_avg,valence_std
1028,0.8415596153846155,0.24413341108407177,18,48.320388349514566,20.847673890515967,0.5522692307692307,0.14918059723608823,325122.1346153846,498163.1247214815,0.14796667307692307,0.11625993206483497,1390678667.0,0,0.3605795073076923,0.42497010637097143,0,1,5.9423076923076925,3.2957633733351903,1395685426.0,0.12924615384615384,0.07422686239220756,-21.104807692307688,4.258387176811562,0.5576923076923077,0.49666044500557527,20,61.392857142857146,56,28,1547591.5357142857,4459082.434177374,12.678571428571429,5.411981228378988,0.4263057692307693,0.37134679386372765,103.53471153846155,36.881134183573984,3.3846153846153846,1.0219484811989556,0.33028076923076927,0.19213703446965372
1029,0.5433684210526316,0.2473884034482312,3,21.333333333333332,10.051454921141815,0.636578947368421,0.119656884812795,1493688.7105263157,967116.2234644024,0.18528947368421056,0.10667553557023594,1488247329.0,53187,0.0005586376315789473,0.0031667994492235044,0,1,4.105263157894737,3.5820420057207483,1488247329.0,0.19136842105263158,0.12594762300104034,-21.179578947368423,4.27498899741015,0.6842105263157895,0.464829519280413,19,60.3421052631579,38,11,1493688.2631578948,967116.2154706364,6.7631578947368425,3.9896854547320935,0.8470526315789474,0.1836375072582455,94.28805263157895,29.92740386154414,3.5789473684210527,0.8775437895017403,0.3537368421052632,0.15889117166203087
1030,0.5626981,0.36942816856513533,1,20.86,16.400621939426568,0.6052099999999999,0.11275790837010059,498618.33,465526.9632254195,0.1050415,0.10296963668358744,1390703110.0,121993,0.0013697850000000003,0.004770688710833793,0,1,4.5,3.6565010597564442,1391389741.0,0.169856,0.11604187547605391,-21.2831,2.667897304995078,0.77,0.4208325082500163,4,37.91,500,13,498617.86,465526.9711768808,6.66,6.788549182262732,0.545537,0.2559946220743709,121.03892,42.19527627748869,3.55,0.9630680142129111,0.36938,0.1638030390438468
1031,0.53376,0.17898084366769534,2,25.92,7.542784631686099,0.6384099999999999,0.0980363294906536,481544.32,421401.77355917427,0.220481,0.08781439710548607,1391653914.0,38177,9.95e-06,9.211604384687827e-05,0,1,5.54,4.077793521011087,1394678295.0,0.23039400000000002,0.12780922331349956,-20.293229999999998,4.309936409867319,0.64,0.48,5,62.0,200,14,481543.87,421401.65651522187,9.8,4.666904755831214,0.8706799999999998,0.1869204579493641,94.71391,26.26388079781623,3.53,0.9105492847726585,0.59502,0.16869890218967046
1032,0.81658,0.1422085918642049,1,2.3168316831683167,5.071626944360021,0.6733699999999999,0.07811115861386259,520143.28,536174.9261245079,0.20657499999999998,0.1306622098198251,1390771783.0,8553,1.821e-07,1.0034493460060652e-06,0,1,5.34,3.583908480974368,1395105685.0,0.192213,0.09728416588016778,-18.39249,5.066653164555474,0.67,0.47021271782034985,8,39.66,200,15,520142.87,536174.9505859753,0.12,0.8400000000000002,0.9191400000000001,0.09562792688331165,104.83254,29.361190640851063,3.64,0.9329523031752481,0.60504,0.15045038517730686
1033,0.87198,0.13207611290464297,1,37.0,0.0,0.64969,0.05439442894267757,212281.02,109703.07478790008,0.315087,0.15273768471140317,1391655034.0,23854,0.0017683988000000003,0.006110020091382724,0,1,6.0,2.7892651361962706,1391655034.0,0.21470999999999998,0.1436695009387866,-17.87322,4.24014111222728,0.62,0.48538644398046393,1,51.46,600,31,212280.56,109703.12884392314,6.02,3.343590884064616,0.89875,0.05518285512729475,99.26643,28.797213502787038,3.6,0.916515138991168,0.34040200000000004,0.11623406899872343
1034,0.8600461538461539,0.09332877052808541,9,49.0,0.0,0.640476923076923,0.12658254925205104,133677.55384615384,154662.6356078616,0.1426784615384616,0.07117416016052605,1391657997.0,3944,0.041026591999999994,0.15676517220246333,0,1,4.461538461538462,3.234796025322739,1391657997.0,0.2146753846153846,0.09763112528723651,-22.68869230769231,3.3602792966477186,0.8307692307692308,0.3749556186755058,1,62.0,65,30,133677.1846153846,154662.62573832637,1.0923076923076922,1.389223102457761,0.44596153846153846,0.2557901253235116,109.4842,28.45781111167358,3.707692307692308,0.9722784805738437,0.36696923076923077,0.1849314192409857
1035,0.7509962626262625,0.23121388365563808,13,48.854304635761586,11.021590702006733,0.498420202020202,0.1369981006871204,625513.3838383838,540548.7128815993,0.16636535656565657,0.11566160949801689,1468129887.0,140577,0.06917551666666667,0.2006107702293961,0,1,3.98989898989899,3.1349929502118132,1468129887.0,0.16067777777777775,0.11748471343120016,-21.0180606060606,4.885922488331499,0.5353535353535354,0.49874856143953566,17,37.55,200,17,628137.9,538472.8656899529,13.78,10.812566762799666,0.3808232323232323,0.33298758548408647,102.29141414141412,29.715391953152782,3.6262626262626263,0.8113569950716446,0.25127676767676765,0.17330626934884003
1036,0.7745874272307692,0.28681968288452936,98,41.30882352941177,31.513889259546747,0.5698923076923076,0.12186993357698678,1203072.523076923,1396891.978829464,0.3847215384615385,0.1911057045337094,1394551356.0,23,0.0812707703076923,0.17375840465176104,0,1,5.615384615384615,3.8015879584611953,1399646073.0,0.28968,0.18963051620697308,-17.368584615384616,6.537928855514054,0.7538461538461538,0.4307692307692308,29,46.49230769230769,65,16,1203072.2153846154,1396891.8749079218,8.523076923076923,18.925853454840098,0.5742523076923077,0.3502308667623916,103.06644615384614,26.986579904737702,3.6923076923076925,0.5239811189515815,0.5944923076923078,0.16935344225130727
1037,0.8493999999999999,0.1334197136857968,23,45.1171875,26.141777236634923,0.57194,0.09802467240445133,359000.92,347683.2825461322,0.14928,0.0832776080348133,1478091933.0,15330,0.042839897800000006,0.185962607080643,0,1,5.4,3.8052595180880897,1481283271.0,0.239118,0.15876263816150196,-23.5137,3.9266560086159825,0.61,0.487749935930288,48,54.42,400,60,359000.69,347683.1711277293,3.86,4.837395993713973,0.524434,0.299752802562378,103.04108000000001,28.20421259268906,3.72,0.6939740629158989,0.417491,0.1882984795982166
