followers,is_public,is_collaborative,num_of_songs,num_of_markets_avg,song_popularity_avg,song_popularity_std,song_duration_avg,song_duration_std,num_of_artists,artist_popularity_avg,artist_popularity_std,artist_genres,last_update,first_update,active_period,playlist_name_length,name_score,decade_1900,decade_1910,decade_1920,decade_1930,decade_1940,decade_1950,decade_1960,decade_1970,decade_1980,decade_1990,decade_2000,decade_2010,danceability_avg,danceability_std,energy_avg,energy_std,key_avg,key_std,loudness_avg,loudness_std,mode_avg,mode_std,speechiness_avg,speechiness_std,acousticness_avg,acousticness_std,instrumentalness_avg,instrumentalness_std,liveness_avg,liveness_std,valence_avg,valence_std,tempo_avg,tempo_std,duration_ms_avg,duration_ms_std,time_signature_avg,time_signature_std
535,1,0,500,53.52,40.36,14.4378114685,262166.34,50923.2467705,101,49.0495049505,12.5037627902,65,1512430572.0,1442251687.0,70178885.0,23,0,0,0,0,0,0,0,0,0.05,0.44,0.19,0.14,0.18,0.46729,0.108467718239,0.79357,0.164073352803,5.37,3.30954679677,-7.68154,3.14095926245,0.65,0.476969600708,0.05705,0.031619837128,0.0584850074,0.113951028052,0.0451634165,0.139956395866,0.22871,0.193651163952,0.451725,0.206656303255,131.59227,26.6508808225,262183.25,50921.6233668,3.99,0.0994987437107
205,1,0,500,51.86,41.16,13.3481983803,236116.64,59455.0026298,106,54.3027522936,11.2319209163,47,1512431536.0,1459449162.0,52982374.0,26,0,0,0,0,0,0,0,0,0,0,0,0.06,0.94,0.53349,0.14751986273,0.505995,0.230266025447,5.33,3.80277530233,-9.21359,3.26332414601,0.87,0.336303434416,0.045609,0.0457431461423,0.4059918,0.315006339468,0.0215840637,0.0891913823947,0.152032,0.120193122,0.38568,0.223931973599,118.07946,29.0848385447,236116.99,59455.0863134,3.87,0.482804308183
38,1,0,500,59.02,45.45,14.1388648766,212954.74,28555.6959963,107,50.3565217391,14.6454867981,12,1512431713.0,1466899650.0,45532063.0,30,0,0,0,0,0,0,0,0,0,0,0.04,0.1,0.86,0.57285,0.116264902271,0.69877,0.1502730751,4.88,3.61740238293,-5.88543,2.42964810314,0.62,0.48538644398,0.06658,0.0509287305948,0.2177136,0.209199940404,0.0007804658,0.00665854372007,0.167563,0.128461659381,0.447839,0.198135338037,114.60551,28.5307782987,212955.11,28555.6447071,3.98,0.198997487421
659,1,0,400,55.25,38.57,18.9743273926,229879.32,42500.027635,135,46.7536231884,20.8749942616,34,1512438862.0,1442277159.0,70161703.0,32,0,0,0,0,0,0,0,0,0,0,0,0.04,0.96,0.67434,0.117133532347,0.67808,0.137759041809,5.6,3.55246393367,-7.08542,2.16352160692,0.55,0.497493718553,0.160331,0.0991047039196,0.20987685,0.221606659725,0.0097442804,0.0664733807797,0.191045,0.137793797665,0.503199,0.222619510598,111.59782,27.5687368065,229879.72,42500.0447908,4.01,0.172916164658
402,1,0,500,57.96,47.99,12.1115605931,237456.29,74890.0643256,157,50.9375,12.0253313364,54,1512427727.0,1459448857.0,52978870.0,30,0,0,0,0,0,0,0,0,0,0,0,0.02,0.98,0.73656,0.0918605813176,0.79304,0.133436570699,5.55,3.94049489278,-6.29496,2.06049329492,0.43,0.495075751779,0.073243,0.0613708501734,0.03504761,0.0610634826799,0.2715539419,0.348468355655,0.181064,0.165134708357,0.54302,0.219952448497,125.29977,9.3641087113,237456.66,74890.1174294,3.98,0.14
140,1,0,500,59.33,40.33,16.3744038059,222210.74,29973.0520694,118,52.0,11.2059703057,11,1512432504.0,1466899653.0,45532851.0,23,0,0,0,0,0,0,0,0,0,0,0,0.05,0.95,0.68254,0.141642325595,0.69832,0.198171233028,5.19,3.73816800051,-4.7828,2.06585577425,0.64,0.48,0.085537,0.0732813095612,0.2932928,0.255559742057,0.0087489123,0.0566719989922,0.161445,0.130015278621,0.558607,0.24158511223,114.1242,24.4869218539,222211.2,29973.0528065,3.94,0.237486841741
546,1,0,500,57.18,43.37,17.1433106488,216327.55,39202.2825954,141,53.4829545455,15.8583840859,34,1512430787.0,1430322072.0,82108715.0,18,0,0,0,0,0,0,0,0,0,0,0,0.13,0.87,0.67389,0.12048177414,0.76368,0.130707067904,6.09,3.55835636214,-5.92234,2.20291611379,0.54,0.498397431775,0.232204,0.101717197091,0.1318259,0.139585014493,0.0470716476,0.184793385195,0.195817,0.128882737444,0.55854,0.228822831903,126.46075,23.6734064166,216327.98,39202.3093644,3.97,0.411217703899
470,1,0,500,56.64,37.61,19.0309721244,230897.25,47499.2041223,180,52.9187817259,17.1186810577,42,1512433527.0,1451262920.0,61170607.0,23,0,0,0,0,0,0,0,0,0,0,0,0.02,0.98,0.62369,0.133259723473,0.85004,0.127581497091,5.19,3.69241113637,-4.59553,2.21292907006,0.52,0.499599839872,0.115285,0.0881045201735,0.035730222,0.0773606933307,0.2230703269,0.285291195019,0.236196,0.195320335306,0.339498,0.204113082863,129.69164,25.3478515115,230897.59,47499.2144605,3.96,0.313687742827
348,1,0,500,56.62,41.71,15.257322832,227058.25,39631.6751464,109,55.5739130435,9.46118925291,12,1512431784.0,1442276139.0,70155645.0,24,0,0,0,0,0,0,0,0,0.03,0,0.12,0.2,0.65,0.56196,0.142541356806,0.69362,0.18532235591,4.9,3.64554522671,-6.43828,3.17558394655,0.73,0.443959457608,0.068623,0.0638679134699,0.23816202,0.275641941891,0.0099090545,0.0590851477339,0.196698,0.180649373085,0.49597,0.212703194851,121.10733,31.8152040481,227055.41,39631.3773495,3.91,0.286181760425
511,1,0,200,51.23,32.03,22.3823390199,226664.36,57627.5691173,97,40.8867924528,25.4025406376,89,1512430580.0,1442251690.0,70178890.0,22,0,0,0,0,0,0,0,0.02,0.34,0.04,0.11,0.12,0.37,0.48882,0.133406175269,0.70197,0.173596454745,5.07,3.55880597954,-8.80411,3.00892994566,0.77,0.42083250825,0.066361,0.0505836552554,0.19454611,0.210026003626,0.0751035954,0.197974781576,0.23304,0.172928584103,0.587897,0.220847341598,128.74083,26.7145145343,226643.19,57622.603094,3.97,0.221585198062
